Rank,College,W,L,T,PCT
161,Binghamton ,22,25,0,0.468
161,Weber St. ,22,25,0,0.468
163,Wagner ,21,24,0,0.467
164,Texas St. ,26,30,0,0.464
164,Penn ,19,22,1,0.464
166,Butler ,24,28,0,0.462
167,Saint Mary's ,23,27,0,0.460
168,Bradley ,27,32,0,0.458
169,Northern Ill. ,26,31,0,0.456
170,Elon ,24,29,1,0.454
171,Kennesaw St. ,24,29,0,0.453
171,Florida A&M ,24,29,0,0.453
173,Bowling Green ,23,28,1,0.452
174,Army West Point ,23,28,0,0.451
175,Charleston So. ,27,33,1,0.451
176,Bethune-Cookman ,25,31,0,0.446
176,Loyola Chicago ,25,31,0,0.446
178,UTSA ,24,30,0,0.444
179,Mount St. Mary's ,19,24,1,0.443
180,California ,23,29,0,0.442
181,Miami ,22,28,0,0.440
181,Hawaii ,22,28,0,0.440
181,Houston Baptist ,22,28,0,0.440
184,Norfolk St. ,20,26,0,0.435
185,La Salle ,18,24,0,0.429
186,Iowa St. ,23,31,1,0.427
187,UC Riverside ,23,31,0,0.426
187,Southern Utah ,23,31,0,0.426
187,Troy ,22,30,2,0.426
190,Loyola Marymount ,20,27,0,0.426
191,Central Ark. ,25,34,0,0.424
191,Tennessee Tech ,25,34,0,0.424
193,Radford ,22,30,0,0.423
193,Massachusetts ,16,22,1,0.423
195,Pacific ,20,28,0,0.417
196,Ole Miss ,22,31,0,0.415
196,Southern Miss. ,22,31,0,0.415
198,Valparaiso ,24,34,0,0.414
199,Memphis ,23,33,0,0.411
200,Oakland ,16,23,0,0.410
201,Cornell ,18,26,0,0.409
202,Jacksonville ,20,29,0,0.408
202,Charlotte ,20,29,0,0.408
204,Western Ill. ,19,28,1,0.406
205,Alabama St. ,17,25,0,0.405
206,Lamar University ,20,30,0,0.400
207,Southeastern La. ,19,29,0,0.396
208,Princeton ,17,26,0,0.395
209,LIU Brooklyn ,22,34,0,0.393
210,UT Arlington ,21,33,0,0.389
210,UC Davis ,21,33,0,0.389
212,Drexel ,17,27,0,0.386
213,ETSU ,20,32,0,0.385
213,Austin Peay ,20,32,0,0.385
215,Canisius ,18,30,0,0.375
215,Niagara ,18,30,0,0.375
217,Appalachian St. ,19,32,0,0.373
217,Evansville ,19,32,0,0.373
217,Wright St. ,19,32,0,0.373
220,Northern Colo. ,20,34,0,0.370
221,George Washington ,18,31,1,0.370
222,Oregon St. ,18,31,0,0.367
223,Drake ,19,33,0,0.365
223,Louisiana Tech ,19,33,0,0.365
225,N.C. A&T ,16,28,0,0.364
225,UIC ,16,28,0,0.364
227,Toledo ,19,34,0,0.358
227,Western Caro. ,19,34,0,0.358
227,Nicholls St. ,19,34,0,0.358
230,UMKC ,20,36,0,0.357
231,Iowa ,16,30,1,0.351
232,UNCW ,18,34,0,0.346
232,Seattle U ,18,34,0,0.346
232,Villanova ,18,34,0,0.346
235,Pittsburgh ,15,29,0,0.341
236,UTEP ,17,34,0,0.333
236,Western Mich. ,17,34,0,0.333
236,Temple ,15,30,0,0.333
239,Utah St. ,18,37,0,0.327
240,Coppin St. ,13,27,0,0.325
241,Tennessee St. ,18,38,0,0.321
242,Holy Cross ,12,26,0,0.316
243,Grambling ,11,24,0,0.314
244,Prairie View ,13,29,0,0.310
245,New Mexico ,16,36,0,0.308
245,A&M-Corpus Christi ,16,36,0,0.308
245,Gardner-Webb ,16,36,0,0.308
248,Indiana ,17,39,1,0.307
249,Seton Hall ,15,34,0,0.306
250,Colgate ,13,30,0,0.302
251,Utah Valley ,18,42,0,0.300
252,Morehead St. ,15,36,1,0.298
253,Rhode Island ,13,32,1,0.293
254,Mississippi Val. ,14,35,0,0.286
254,Penn St. ,14,35,0,0.286
254,Sacred Heart ,12,30,0,0.286
257,CSU Bakersfield ,15,40,1,0.277
258,Morgan St. ,8,21,0,0.276
259,Belmont ,13,36,0,0.265
260,South Carolina St. ,10,28,0,0.263
261,Eastern Mich. ,13,37,0,0.260
262,UConn ,13,38,0,0.255
263,Alabama A&M ,11,33,0,0.250
264,Michigan St. ,12,37,0,0.245
265,Southeast Mo. St. ,11,34,0,0.244
266,Maryland ,11,35,0,0.239
267,Lafayette ,10,32,0,0.238
268,Quinnipiac ,11,36,0,0.234
268,South Dakota St. ,11,36,0,0.234
270,Southern U. ,11,37,0,0.229
271,Santa Clara ,10,34,0,0.227
272,Hartford ,8,30,0,0.211
273,N.C. Central ,9,35,0,0.205
274,Ark.-Pine Bluff ,9,37,0,0.196
275,Yale ,8,33,0,0.195
276,Liberty ,11,46,0,0.193
277,Saint Peter's ,10,42,0,0.192
278,Middle Tenn. ,10,45,0,0.182
278,Portland St. ,8,36,0,0.182
280,St. Bonaventure ,7,33,0,0.175
281,Providence ,6,29,0,0.171
282,Alcorn ,8,39,0,0.170
283,Virginia ,8,43,0,0.157
284,UMES ,7,40,0,0.149
285,Detroit Mercy ,7,42,0,0.143
286,North Dakota ,6,39,0,0.133
287,Rider ,6,41,0,0.128
288,Brown ,4,34,0,0.105
289,Howard ,4,37,0,0.098
