College,Year,Fielding_Percentage,Scoring,WL_Percentage,Hit_Batters,Earned_Run_Average,Triples_per_Game,Home_Runs_per_game,Slugging_Percentage,Double_Plays_per_Game,On_Base_Percentage,Stolen_Bases_per_Game,Strikeout-to-Walk_Ratio,Batting_Average,Doubles_per_Game,Shutouts,Team_Strikeouts_Per_Seven_Innings
Alabama A&M,2019,0.954,4.38,0.548,24.0,3.63,0.12,0.52,0.389,0.17,0.341,0.83,1.25,0.272,1.38,5.0,
Alabama State,2013,0.922,3.49,0.298,,5.71,0.26,0.21,0.342,0.32,,1.68,,0.262,0.81,,
Alabama State,2014,0.93,5.83,0.405,,6.48,0.24,0.74,0.48,0.17,0.4,1.24,,0.32,1.45,,
Alabama State,2015,0.939,5.04,0.389,,5.15,0.41,0.56,0.465,0.35,,1.43,,0.321,1.46,,
Alabama State,2016,0.951,5.38,0.509,,4.51,0.22,0.69,0.475,0.38,,0.91,,0.321,1.67,,
Alabama State,2017,0.942,4.88,0.386,,5.41,0.39,0.61,0.459,0.39,,1.26,,0.317,1.11,,
Alabama State,2018,0.938,4.83,0.426,,5.03,0.24,0.48,0.416,0.2,,1.52,,0.288,1.35,,
Alabama State,2019,0.941,5.06,0.49,34.0,3.65,0.24,0.43,0.42,0.24,0.37,1.27,0.9,0.303,1.41,3.0,
Albany (NY),2013,0.975,4.48,0.712,,2.31,0.12,0.63,0.391,0.23,,1.9,,0.268,1.12,,
Albany (NY),2014,0.966,5.34,0.723,,2.68,0.06,0.81,,0.09,,1.66,,0.285,1.62,,
Albany (NY),2015,0.964,5.15,0.625,10.0,3.59,0.27,0.83,0.478,0.35,,1.27,,0.305,1.5,,
Albany (NY),2016,0.956,5.96,0.654,,4.56,0.29,0.83,0.491,0.19,0.416,0.67,,0.316,1.5,,
Albany (NY),2017,0.952,4.87,0.596,14.0,3.82,0.21,0.74,0.457,0.15,,1.23,,0.295,1.3,,
Albany (NY),2018,0.971,4.77,0.667,,2.89,0.17,0.63,0.402,0.23,,1.19,,0.263,1.35,,
Albany (NY),2019,0.968,4.98,0.605,19.0,3.11,0.26,0.35,0.373,0.47,0.341,1.6,1.19,0.269,1.33,3.0,
Alcorn,2013,0.94,2.37,0.195,,7.69,0.12,0.02,0.255,0.39,,1.15,,0.208,0.76,,
Alcorn,2014,0.934,3.38,0.17,,9.65,0.06,0.43,,0.21,,1.28,,0.248,0.96,,
Alcorn,2015,0.917,2.39,0.061,,10.76,0.18,0.12,0.293,0.21,,0.73,,0.228,0.7,,
Alcorn,2016,0.939,3.76,0.391,,5.8,0.15,0.3,0.36,0.26,,0.22,,0.273,1.0,,
Alcorn,2017,0.939,4.47,0.34,,5.08,0.17,0.51,0.411,0.3,,0.62,,0.287,1.34,,
Alcorn,2018,0.926,4.24,0.286,,5.93,0.18,0.2,0.345,0.1,,0.8,,0.265,0.94,,
Alcorn,2019,0.933,4.45,0.368,28.0,3.98,0.24,0.18,0.369,0.18,0.37,1.03,1.58,0.279,1.32,3.0,
Appalachian State,2017,,,,16.0,,,,,,,,,,,,
Appalachian State,2013,0.961,4.4,0.585,,3.73,0.02,0.68,0.385,0.17,,0.62,,0.262,1.21,,
Appalachian State,2014,0.955,3.55,0.373,,3.92,0.14,0.51,,0.39,,1.14,,0.264,0.86,,
Appalachian State,2015,0.945,4.39,0.286,,7.11,0.12,0.92,0.422,0.24,,0.49,,0.267,0.9,,
Appalachian State,2016,0.95,4.13,0.196,,7.77,0.05,0.84,0.408,0.2,,0.2,,0.262,1.05,,
Appalachian State,2017,0.941,3.08,0.292,,3.96,0.13,0.52,0.344,0.19,,0.29,,0.224,1.21,,
Appalachian State,2018,0.952,4.13,0.327,,4.3,0.08,0.69,0.388,0.13,,1.17,,0.27,0.94,,
Appalachian State,2019,0.969,3.98,0.554,19.0,2.78,0.05,0.59,0.351,0.32,0.321,0.79,1.42,0.239,1.04,9.0,
Arizona,2013,0.966,4.64,0.559,,3.92,0.07,0.88,0.435,0.24,,0.59,,0.288,1.07,,
Arizona,2014,0.975,7.5,0.733,,3.38,0.13,1.82,0.636,0.28,0.439,0.4,,0.35,1.57,,6.32
Arizona,2015,0.959,7.56,0.672,,4.27,0.2,1.7,0.603,0.46,0.446,0.85,,0.351,1.21,,
Arizona,2016,0.964,5.44,0.656,,2.67,0.13,1.1,0.471,0.28,,0.61,,0.295,0.98,,
Arizona,2017,0.974,6.95,0.852,,1.4,0.15,1.48,0.579,0.25,0.435,0.3,,0.338,1.43,,
Arizona,2018,0.973,4.95,0.729,,1.94,0.12,1.27,0.494,0.2,,0.53,,0.294,1.2,,
Arizona,2019,0.976,6.48,0.774,22.0,1.61,0.11,1.77,0.57,0.29,0.398,0.23,3.71,0.318,1.18,15.0,
Arizona State,2013,0.974,6.71,0.806,,2.16,0.11,1.53,0.564,0.42,,0.63,,0.328,1.56,,
Arizona State,2014,0.971,6.14,0.788,,2.14,0.03,1.25,0.527,0.22,0.414,0.81,,0.322,1.51,,7.66
Arizona State,2015,0.97,6.69,0.621,,4.28,0.03,1.4,0.516,0.6,0.414,0.21,,0.313,1.53,,
Arizona State,2016,0.972,5.39,0.544,,3.73,0.11,1.11,0.484,0.37,,0.86,,0.311,1.14,,
Arizona State,2017,0.968,4.96,0.585,,2.32,0.19,1.17,0.463,0.34,,0.38,,0.274,0.94,,
Arizona State,2018,0.969,5.16,0.787,,1.54,0.21,1.08,0.472,0.23,,0.48,,0.284,1.25,,
Arizona State,2019,0.962,7.47,0.636,53.0,4.64,0.22,1.65,0.606,0.36,0.419,1.04,1.16,0.318,1.76,4.0,
Ark.-Pine Bluff,2013,0.935,3.31,0.333,,6.93,0.07,0.36,0.31,0.14,,0.36,,0.226,0.81,,
Ark.-Pine Bluff,2014,0.933,3.07,0.196,,7.75,0.13,0.46,,0.15,,0.37,,0.227,0.8,,
Ark.-Pine Bluff,2015,0.913,3.75,0.15,,8.05,0.1,0.43,0.347,0.2,,0.4,,0.254,0.85,,
Ark.-Pine Bluff,2016,0.92,4.76,0.294,,6.51,0.18,0.33,0.375,0.27,,0.73,,0.281,1.02,,
Ark.-Pine Bluff,2017,0.933,5.05,0.455,,5.49,0.43,0.34,0.413,0.18,,1.16,,0.295,1.14,,
Ark.-Pine Bluff,2018,0.93,4.04,0.37,,4.95,0.28,0.15,0.312,0.26,,1.52,,0.249,0.57,,
Ark.-Pine Bluff,2019,0.908,2.13,0.105,14.0,6.71,0.24,0.13,0.264,0.16,0.262,0.5,1.23,0.193,0.76,1.0,
Arkansas,2013,0.963,5.43,0.643,,2.86,0.16,1.09,0.47,0.23,,0.98,,0.283,1.13,,
Arkansas,2014,0.956,6.53,0.491,,4.72,0.25,0.98,0.483,0.38,0.41,0.95,,0.304,1.2,,
Arkansas,2015,0.954,3.62,0.302,,5.65,0.19,0.58,0.36,0.17,,0.98,,0.249,0.72,,
Arkansas,2016,0.956,3.91,0.304,,6.98,0.11,0.88,0.41,0.45,,0.36,,0.26,0.93,,
Arkansas,2017,0.968,4.96,0.564,,2.82,0.16,1.07,0.467,0.29,,0.31,,0.284,1.22,,
Arkansas,2018,0.963,4.81,0.712,,2.34,0.19,0.93,0.443,0.17,,0.34,,0.279,1.14,,
Arkansas,2019,0.947,4.9,0.655,43.0,2.0,0.09,0.86,0.445,0.1,0.374,0.22,4.96,0.288,1.28,12.0,
Army West Point,2013,0.973,3.98,0.574,,2.73,0.07,0.31,0.352,0.43,,1.33,,0.281,1.0,,
Army West Point,2014,0.964,3.82,0.451,,3.87,0.2,0.25,,0.33,,2.25,,0.273,0.86,,
Army West Point,2015,0.962,4.18,0.461,,4.07,0.08,0.33,0.354,0.2,,0.98,,0.266,1.29,,
Army West Point,2016,0.96,4.76,0.661,,2.61,0.1,0.2,0.374,0.27,,1.51,,0.306,1.07,,
Army West Point,2017,0.96,4.3,0.632,,2.83,0.14,0.26,0.358,0.32,,0.88,,0.273,1.18,,
Army West Point,2018,0.955,3.81,0.481,,3.11,0.22,0.3,0.359,0.33,,0.85,,0.265,1.19,,
Army West Point,2019,0.961,4.14,0.464,30.0,3.12,0.09,0.32,0.353,0.27,0.34,1.18,1.76,0.266,1.16,6.0,
Auburn,2013,0.959,5.15,0.566,,3.46,0.17,0.6,0.407,0.19,,1.4,,0.279,1.11,,
Auburn,2014,0.979,7.1,0.685,,3.26,0.02,1.34,0.518,0.61,0.422,0.27,,0.305,1.4,,
Auburn,2015,0.975,7.85,0.836,,3.59,0.16,1.48,0.571,0.63,0.46,0.39,,0.339,1.45,,
Auburn,2016,0.969,7.94,0.829,,2.19,0.19,1.27,0.525,0.57,0.436,0.5,,0.317,1.41,,
Auburn,2017,0.97,5.48,0.803,,1.74,0.23,0.84,0.439,0.77,0.399,0.44,,0.277,1.23,,
Auburn,2018,0.977,5.09,0.707,10.0,1.37,0.21,0.74,0.426,0.43,,1.71,,0.281,1.07,,
Auburn,2019,0.968,5.53,0.65,13.0,2.67,0.2,1.1,0.476,0.5,0.369,1.15,2.42,0.286,1.22,13.0,
Austin Peay,2013,0.954,4.05,0.409,,4.47,0.2,0.77,0.41,0.25,,0.34,,0.254,1.48,,
Austin Peay,2014,0.95,3.38,0.385,,4.83,0.15,0.38,,0.58,,0.4,,0.231,1.04,,
Austin Peay,2015,0.934,4.2,0.196,,7.06,0.04,0.78,0.394,0.59,,0.91,,0.26,1.07,,
Austin Peay,2016,0.948,3.23,0.191,,5.49,0.06,0.62,0.368,0.4,,0.15,,0.249,1.17,,
Austin Peay,2017,0.952,3.92,0.354,,4.58,0.1,0.81,0.379,0.4,,0.92,,0.229,1.08,,
Austin Peay,2018,0.963,4.22,0.672,15.0,2.25,0.09,0.88,0.415,0.16,,1.78,,0.265,1.14,,
Austin Peay,2019,0.964,5.04,0.6,21.0,2.61,0.16,1.11,0.475,0.35,0.362,0.91,3.94,0.291,1.38,8.0,
BYU,2013,0.966,4.78,0.569,,2.85,0.14,0.28,0.379,0.38,,1.53,,0.303,0.97,,
BYU,2014,0.961,5.39,0.596,,3.59,0.12,0.81,,0.3,,0.82,,0.29,1.25,,7.13
BYU,2015,0.955,6.04,0.741,,3.34,0.19,0.85,0.487,0.43,,1.24,,0.328,1.22,,
BYU,2016,0.961,4.96,0.632,16.0,3.13,0.21,1.0,0.47,0.25,,0.61,,0.295,1.18,,
BYU,2017,0.979,5.9,0.783,,2.35,0.3,0.93,0.515,0.25,0.414,1.18,,0.324,1.35,,
BYU,2018,0.957,5.62,0.621,,2.95,0.14,1.02,0.476,0.33,0.39,1.19,,0.296,1.28,,
BYU,2019,0.96,4.71,0.536,16.0,3.03,0.11,0.91,0.441,0.38,0.352,0.71,1.59,0.278,1.32,6.0,
Ball State,2013,0.954,6.56,0.685,,2.72,0.15,1.24,0.508,0.56,,0.96,,0.307,1.78,,
Ball State,2014,0.965,5.73,0.635,,3.77,0.23,1.15,0.527,0.38,,0.54,,0.322,1.62,,
Ball State,2015,0.953,6.19,0.576,,4.31,0.29,0.95,0.477,0.34,,1.36,,0.3,1.41,,
Ball State,2016,0.958,3.72,0.407,,5.13,0.13,0.69,0.402,0.37,,0.87,,0.26,1.2,,
Ball State,2017,0.965,4.22,0.517,,2.99,0.05,0.74,0.401,0.28,,0.88,,0.255,1.4,,
Ball State,2018,0.958,5.18,0.661,,2.48,0.09,1.02,0.453,0.16,0.389,0.66,,0.276,1.39,,
Ball State,2019,0.951,5.06,0.63,52.0,2.82,0.15,1.11,0.44,0.35,0.364,0.8,1.9,0.243,1.44,10.0,
Baylor,2013,0.968,4.68,0.712,,2.16,0.2,0.51,0.411,0.08,,1.75,,0.294,1.17,,
Baylor,2014,0.965,5.34,0.754,,1.79,0.09,1.14,0.487,0.15,,1.11,,0.303,1.29,,7.83
Baylor,2015,0.968,4.88,0.707,,2.55,0.17,0.76,0.469,0.19,,1.57,,0.315,1.45,,
Baylor,2016,0.971,5.71,0.763,,2.45,0.17,0.98,0.495,0.29,,1.31,,0.319,1.49,,
Baylor,2017,0.972,4.56,0.762,,1.88,0.17,0.6,0.438,0.17,,1.71,,0.321,1.02,,
Baylor,2018,0.97,5.23,0.679,10.0,2.68,0.23,0.63,0.449,0.18,0.392,1.02,,0.322,1.05,,
Baylor,2019,0.961,2.92,0.367,19.0,3.96,0.04,0.43,0.328,0.29,0.325,0.84,1.34,0.243,0.78,3.0,
Belmont,2013,0.962,3.54,0.34,,3.64,0.22,0.44,0.359,0.24,,0.74,,0.253,1.18,,
Belmont,2014,0.956,3.27,0.265,,4.17,0.2,0.31,,0.45,,0.78,,0.234,0.92,,
Belmont,2015,0.956,3.51,0.289,,5.38,0.2,0.24,0.352,0.24,,0.62,,0.263,1.16,,
Belmont,2016,0.959,3.7,0.352,,4.43,0.17,0.52,0.38,0.26,,0.65,,0.263,1.11,,
Belmont,2017,0.965,5.02,0.614,,3.46,0.12,0.77,0.436,0.26,,0.18,,0.3,1.21,,
Belmont,2018,0.956,3.26,0.5,,2.54,0.12,0.5,0.351,0.2,,0.66,,0.244,1.0,,
Belmont,2019,0.959,5.17,0.574,18.0,3.13,0.19,0.65,0.424,0.17,0.376,0.52,2.36,0.29,1.19,9.0,
Bethune-Cookman,2013,0.937,4.13,0.34,,4.49,0.13,0.34,0.352,0.28,,1.26,,0.269,0.91,,
Bethune-Cookman,2014,0.951,3.18,0.446,,3.54,0.14,0.21,,0.2,,0.95,,0.244,0.98,,
Bethune-Cookman,2015,0.944,4.41,0.431,,3.9,0.25,0.25,0.361,0.43,,1.22,,0.28,0.9,,
Bethune-Cookman,2016,0.96,3.96,0.396,,4.2,0.17,0.23,0.34,0.23,,1.64,,0.266,0.87,,
Bethune-Cookman,2017,0.956,5.16,0.421,,4.82,0.16,0.65,0.426,0.3,,1.75,,0.299,1.04,,
Bethune-Cookman,2018,0.961,5.26,0.544,,3.59,0.19,0.4,0.392,0.32,,2.82,,0.292,1.07,,
Bethune-Cookman,2019,0.956,3.56,0.456,41.0,3.36,0.11,0.14,0.292,0.18,0.332,1.61,1.56,0.24,0.63,10.0,
Binghamton,2013,0.964,5.47,0.638,,2.73,0.11,1.0,0.468,0.21,,1.74,,0.293,1.45,,
Binghamton,2014,0.953,4.89,0.468,,4.92,0.3,0.94,0.471,0.38,,2.55,,0.286,1.43,,
Binghamton,2015,0.955,5.71,0.533,,5.52,0.18,0.98,0.472,0.4,,1.27,,0.297,1.33,,
Binghamton,2016,0.954,7.08,0.694,,3.99,0.31,0.92,0.527,0.45,0.423,1.43,,0.348,1.43,,
Binghamton,2017,0.964,4.72,0.468,,4.44,0.4,0.57,0.422,0.34,,1.34,,0.278,1.17,,
Binghamton,2018,0.939,4.64,0.405,,4.35,0.12,0.76,0.421,0.31,,1.05,,0.279,1.36,,
Binghamton,2019,0.944,4.63,0.396,30.0,4.98,0.23,0.56,0.405,0.23,0.354,1.17,1.29,0.274,1.25,4.0,
Boise State,2013,0.957,4.73,0.49,,3.87,0.1,0.88,0.436,0.33,,0.88,,0.282,1.35,,
Boise State,2014,0.95,4.87,0.577,,4.04,0.08,0.75,,0.35,0.399,2.0,,0.286,1.42,,
Boise State,2015,0.946,4.61,0.222,,6.14,0.07,0.76,0.426,0.39,,0.96,,0.273,1.65,,
Boise State,2016,0.951,4.79,0.269,,6.99,0.13,0.96,0.443,0.56,,0.83,,0.285,1.0,,
Boise State,2017,0.956,5.57,0.623,,3.8,0.21,0.75,0.47,0.6,,1.49,,0.327,1.3,,
Boise State,2018,0.949,6.77,0.714,,3.16,0.16,1.0,0.532,0.3,0.415,1.29,,0.354,1.7,,
Boise State,2019,0.963,6.38,0.692,36.0,3.22,0.33,1.23,0.525,0.5,0.383,1.0,1.43,0.32,1.31,9.0,
Boston College,2013,0.955,4.25,0.269,,6.82,0.13,1.04,0.443,0.35,,1.38,,0.261,1.13,,
Boston College,2014,0.971,5.02,0.566,,3.53,,0.72,,0.28,,0.87,,0.269,1.11,,
Boston College,2015,0.963,4.29,0.529,,3.22,0.16,0.55,0.372,0.29,,1.33,,0.251,1.16,,
Boston College,2016,0.965,4.38,0.566,,2.89,0.09,0.62,0.409,0.43,,1.08,,0.287,1.26,,
Boston College,2017,0.963,4.13,0.585,,2.63,0.13,0.55,0.394,0.21,,1.43,,0.281,1.08,,
Boston College,2018,0.96,4.28,0.566,,2.46,0.25,0.38,0.354,0.11,,1.11,,0.255,1.02,,
Boston College,2019,0.938,3.38,0.34,87.0,5.22,0.17,0.36,0.343,0.4,0.335,0.87,1.02,0.248,0.94,4.0,
Boston U,2013,0.965,3.6,0.448,,3.59,0.17,0.33,0.362,0.25,,1.27,,0.27,1.06,,
Boston U,2014,0.959,5.25,0.632,,2.79,0.3,0.37,,0.28,,1.84,,0.307,1.54,,
Boston U,2015,0.953,4.27,0.386,,4.48,0.23,0.25,0.367,0.3,,1.82,,0.279,1.07,,
Boston U,2016,0.97,4.52,0.538,,2.78,0.19,0.19,0.367,0.19,,1.19,,0.3,0.88,,
Boston U,2017,0.96,4.19,0.481,12.0,3.18,0.19,0.37,0.365,0.25,,1.13,,0.274,1.04,,
Boston U,2018,0.969,5.1,0.661,,2.41,0.54,0.34,0.411,0.41,,1.25,,0.291,1.17,,
Boston U,2019,0.963,3.93,0.649,11.0,1.85,0.18,0.54,0.382,0.18,0.346,0.54,3.32,0.27,0.93,15.0,
Bowling Green,2013,0.965,2.96,0.549,,2.1,0.18,0.61,0.324,0.2,,0.96,,0.213,0.59,,
Bowling Green,2014,0.958,3.27,0.452,,2.64,0.08,0.65,,0.21,,0.63,,0.237,0.98,,
Bowling Green,2015,0.949,3.4,0.417,,3.42,0.17,0.56,0.36,0.21,,0.88,,0.248,0.85,,
Bowling Green,2016,0.956,3.74,0.333,,4.72,0.11,0.44,0.353,0.19,,0.41,,0.253,1.07,,
Bowling Green,2017,0.961,3.23,0.429,,3.44,0.09,0.29,0.335,0.3,,0.75,,0.261,0.89,,
Bowling Green,2018,0.963,4.1,0.5,,3.34,0.15,0.71,0.424,0.4,,0.65,,0.286,1.19,,
Bowling Green,2019,0.944,4.41,0.431,51.0,3.69,0.16,0.63,0.395,0.2,0.35,1.0,1.93,0.265,1.31,2.0,
Bradley,2013,0.955,4.0,0.442,,3.92,0.15,0.44,0.384,0.23,,0.92,,0.283,1.1,,
Bradley,2014,0.95,4.42,0.458,,3.67,0.12,0.69,,0.41,,0.47,,0.285,0.97,,
Bradley,2015,0.954,4.78,0.407,,4.81,0.15,0.5,0.41,0.26,,0.93,,0.297,1.31,,
Bradley,2016,0.956,4.69,0.375,,5.4,0.23,0.75,0.447,0.38,,0.77,,0.296,1.48,,
Bradley,2017,0.955,3.92,0.396,,4.48,0.25,0.57,0.4,0.32,,1.02,,0.271,1.17,,
Bradley,2018,0.942,4.76,0.4,,3.79,0.06,0.92,0.446,0.44,,0.34,,0.285,1.46,,
Bradley,2019,0.954,5.86,0.58,24.0,3.78,0.22,1.36,0.514,0.22,0.384,0.48,1.47,0.295,1.3,2.0,
Brown,2013,0.973,2.45,0.263,,5.67,0.13,0.32,0.297,0.29,,0.66,,0.216,0.79,,
Brown,2014,0.947,2.05,0.105,,5.04,0.05,0.26,,0.32,,0.76,,0.214,1.03,,
Brown,2015,0.944,3.5,0.382,,3.22,,0.44,0.382,0.15,,1.06,,0.27,1.56,,
Brown,2016,0.956,3.88,0.439,,3.21,0.1,0.32,0.395,0.15,,0.49,,0.295,1.63,,
Brown,2017,0.951,4.13,0.356,,4.19,0.18,0.71,0.425,0.33,,0.53,,0.276,1.36,,
Brown,2018,0.973,3.82,0.282,,5.43,0.23,0.38,0.383,0.28,,0.38,,0.27,1.38,,
Brown,2019,0.968,3.13,0.308,25.0,3.98,0.13,0.41,0.335,0.26,0.309,0.85,1.18,0.227,1.26,2.0,
Bryant,2013,0.951,4.63,0.488,,4.21,0.14,0.79,0.438,0.16,,0.23,,0.273,1.58,,
Bryant,2014,0.972,4.7,0.593,,3.8,0.17,0.72,,0.31,,1.13,,0.293,1.57,,
Bryant,2015,0.953,4.14,0.347,,4.5,0.12,1.12,0.445,0.16,,0.47,,0.26,1.1,,
Bryant,2016,0.964,2.35,0.25,,4.97,0.04,0.29,0.286,0.21,,0.56,,0.209,0.92,,
Bryant,2017,0.96,2.44,0.25,,4.77,0.1,0.21,0.274,0.27,,0.77,,0.209,0.71,,
Bryant,2018,0.949,3.42,0.311,,5.66,0.13,0.51,0.352,0.16,,0.91,,0.238,1.0,,
Bryant,2019,0.964,2.93,0.289,26.0,4.03,0.2,0.27,0.303,0.09,0.314,1.51,1.52,0.223,0.82,3.0,
Bucknell,2013,0.952,2.9,0.412,,2.99,0.22,0.33,0.332,0.18,,0.88,,0.232,1.08,,
Bucknell,2014,0.964,4.51,0.469,,3.1,0.08,0.37,,0.14,,1.37,,0.282,1.57,,
Bucknell,2015,0.959,5.09,0.636,,3.86,0.05,0.35,0.384,0.38,,1.44,,0.288,1.42,,
Bucknell,2016,0.969,4.2,0.54,,2.79,0.18,0.28,0.384,0.16,,1.12,,0.291,1.36,,
Bucknell,2017,0.964,4.12,0.535,,2.33,0.23,0.23,0.349,0.21,,1.19,,0.272,0.93,,
Bucknell,2018,0.962,4.51,0.539,,3.05,0.27,0.71,0.423,0.24,,1.04,,0.27,1.39,,
Bucknell,2019,0.958,4.35,0.538,25.0,2.77,0.35,0.52,0.419,0.33,0.357,1.21,2.52,0.284,1.31,9.0,
Buffalo,2013,0.957,2.71,0.333,,4.12,0.13,0.4,0.313,0.1,,1.04,,0.226,0.81,,
Buffalo,2014,0.963,4.54,0.577,,2.92,0.23,0.65,,0.17,,0.96,,0.264,1.38,,
Buffalo,2015,0.923,3.62,0.26,,5.24,0.06,0.54,0.39,0.36,,0.42,,0.274,1.34,,
Buffalo,2016,0.951,4.13,0.315,,4.72,0.28,0.67,0.398,0.17,,0.87,,0.264,1.07,,
Buffalo,2017,0.933,2.55,0.164,,4.37,0.15,0.18,0.31,0.33,,1.09,,0.236,1.05,,
Buffalo,2018,0.938,4.02,0.34,,6.92,0.28,0.62,0.404,0.13,,0.47,,0.263,1.02,,
Buffalo,2019,0.944,3.81,0.244,19.0,4.97,0.09,0.79,0.394,0.26,0.351,0.86,1.47,0.241,1.37,,
Butler,2013,0.96,3.35,0.478,,3.24,0.07,0.39,0.351,0.22,,0.8,,0.26,1.11,,
Butler,2014,0.97,3.92,0.462,,3.57,0.06,0.35,,0.25,,0.92,,0.255,1.21,,
Butler,2015,0.966,4.27,0.471,,4.29,0.08,0.67,0.414,0.29,,1.0,,0.284,1.33,,
Butler,2016,0.962,4.15,0.538,,3.63,0.27,0.35,0.359,0.25,,1.37,,0.254,1.13,,
Butler,2017,0.946,4.06,0.442,,4.58,0.15,0.46,0.383,0.38,,1.15,,0.273,1.12,,
Butler,2018,0.961,3.63,0.417,,3.99,0.27,0.4,0.336,0.31,,1.08,,0.244,0.71,,
Butler,2019,0.958,3.29,0.333,18.0,3.52,0.06,0.46,0.348,0.33,0.32,1.13,1.91,0.252,1.06,4.0,
CSU Bakersfield,2013,0.952,2.22,0.306,,4.36,0.14,0.12,0.287,0.16,,0.69,,0.222,0.92,,
CSU Bakersfield,2014,0.948,2.88,0.277,,4.36,0.09,0.14,,0.25,,0.77,,0.247,1.18,,
CSU Bakersfield,2015,0.955,3.67,0.457,,4.16,0.2,0.39,0.401,0.43,,0.48,,0.293,1.22,,
CSU Bakersfield,2016,0.953,2.76,0.32,,3.76,0.18,0.14,0.307,0.42,,0.72,,0.243,0.84,,
CSU Bakersfield,2017,0.953,3.98,0.267,,6.02,0.11,0.36,0.343,0.51,,0.8,,0.255,0.96,,
CSU Bakersfield,2018,0.953,2.55,0.136,,5.39,0.2,0.11,0.282,0.52,,0.84,,0.229,0.59,,
CSU Bakersfield,2019,0.955,3.34,0.319,63.0,4.65,0.28,0.3,0.329,0.7,0.306,0.72,0.86,0.247,0.68,2.0,
